Model,Accuracy,Mean Square Error,R2 Score
Linear Regression,0.7576998207199755,1784928351.720376,0.7576998207199755
Decision Tree,0.977996333641384,162092195.0697345,0.977996333641384
Random Forest,0.987440675235979,92519514.08528374,0.987440675235979
Gradient Boost,0.8707848034465513,951876587.4903578,0.8707848034465513
XGBoost,0.9732466106314921,197081501.67432004,0.9732466106314921
Bagging Regressor,0.9875251265276098,91897395.25227554,0.9875251265276098
KNN,0.8471165209931792,1126231342.4603329,0.8471165209931792
